,education,marital_status,income,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,total_accepted_cmp,children,age,relationship_duration,frequency,monetary,avg_purchase_value
PC1,0.2957880908681444,0.00576837649935491,0.2755695959077564,0.230279022618127,0.2811103979829671,0.23902478477708827,0.22974619832592796,0.19422008260942286,-0.03452499495494837,0.193032747732544,0.28384058751690766,0.2535464539611422,-0.20437032654939402,0.147160843291934,-0.18555221408474448,0.04802164983661019,0.033052927491018354,0.274682922577709,0.3258202627507435,0.2993637163544583,-0.031636985661662835,0.007919106614718053
PC2,-0.005678343829697235,0.004067622573242636,0.14408401233558435,-0.1140695683100948,-0.1280235389886081,-0.12268326822949846,-0.091233595344351,0.11578100219734264,0.5669481645681369,0.38242743250372674,0.008731328632246831,0.16493378195162875,0.3143618280813423,-0.04408805714597634,0.3290071881190543,0.16358615421524156,0.25223348285428826,0.32870302958371367,0.019517145226448925,-0.093045179762572,-0.01708221828415428,-0.03574852540435258
PC3,-0.2234412182433778,0.01047352044894834,-0.059879505061077316,0.15826216263978432,0.06736155996142995,0.15146218254573496,0.1463169691834534,0.184791872107755,0.022500422523330857,0.00801061233450692,-0.038842707661803234,-0.1194449571894229,0.3209920381226041,-0.06263095725790067,-0.2148592477667344,-0.5254815808805261,0.5984274655509817,-0.1180542903419135,0.04115832105299074,0.07143658276916669,0.027993900954994003,0.11429563291888407
